base_score,[482.01970476]
age,Score
"(-inf, 36.0]",-4.153277649158697
"(36.0, 54.0]",-2.200986296261022
"(54.0, 61.0]",1.9609607930716524
"(61.0, 74.0]",7.996981714067112
"(74.0, inf]",13.466798758266515
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.0991]",47.686432770692306
"(0.0991, 0.298]",14.463212255832275
"(0.298, 0.465]",-2.829529483095837
"(0.465, 0.982]",-23.228223169965567
"(0.982, 1.0]",-10.236605830108697
"(1.0, inf]",-44.13029963986228
DebtRatio,Score
"(-inf, 0.0174]",33.02707672403264
"(0.0174, 0.321]",1.6264582515935986
"(0.321, 1.475]",-6.876064478650176
"(1.475, inf]",3.833789141300153
MonthlyIncome,Score
"(-inf, 0.1]",24.576147779046043
"(0.1, 5599.821]",-3.8245465507711054
"(5599.821, inf]",3.6024136187455906
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-6.81909358813331
"(1.0, 3.0]",-2.660690357662552
"(3.0, 5.0]",-0.440315674217008
"(5.0, 17.0]",0.9941884194876051
"(17.0, inf]",3.7732125651340436
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.544694801372693
"(0.0, 1.0]",-13.738707378123918
"(1.0, 2.0]",-21.63032550095074
"(2.0, inf]",-24.157843653161354
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.8272864958642523
"(0.0, 1.0]",-28.556622752723385
"(1.0, 2.0]",-36.88292177765505
"(2.0, inf]",-39.04190932444551
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-10.540974014220225
"(0.0, 1.0]",5.259899060626678
"(1.0, 2.0]",16.422213202087498
"(2.0, 4.0]",10.43785274540656
"(4.0, inf]",-7.778614772216566
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",0.9865281006046619
"(0.0, 1.0]",-10.952564654295593
"(1.0, 2.0]",-14.123179397557916
"(2.0, inf]",-14.330597373684384
NumberOfDependents,Score
"(-inf, 0.0]",14.437790864420672
"(0.0, 1.0]",-13.379819140884544
"(1.0, 2.0]",-12.179270101587829
"(2.0, inf]",-11.00112142119101
